[50]          37,   10527215,     ¬_¦t¯Ð,      69.83
[51]          36,   10527217,     °ª°¶°a,      64.17
[52]          35,   10527219,     ±iÁ¾·u,      78.33
[53]          44,   10527228,     ¶À®m©ö,      65.67
[54]          54,   10527133,     ¬_©Ó¦ö,      71
[55]          45,   10527230,     §õ©Ó®¦,      76.5
[56]          56,   10527111,     ¬I¨|·z,      75.67
[57]          56,   10527207,     ¾|®a·ì,      73.17
[58]          56,   10527270,     ¿½¹l¹m,      79.17
[59]          59,   10527109,     ­S¤å»¨,      77.67
[60]          59,   10527224,     ³¯«H¦t,      71.67
[61]          60,   10527245,     ³¯§»·¸,      82.83
[62] 
[63]          63,   10527276,     ¦ó¥Ã¹F,      76
[64]          64,   10527118,     »¯¯\§±,      80
[65] 
[66]          66,   10527105,     ©P§Q¨È,      74.67
[67]          66,   10527150,     ªL·z¶¶,      70.83
[68] 
[69] 
[70]          70,   10520113,     ³¢¤l¥¿,      70.83
[71]          70,   10527134,     Áé©_¿Ý,      67.17
[72]          70,   10527143,     ¸­¤éµ¾,      77.5
[73]          73,   10527101,     §ù³Õ¤_,      73.83
[74]          73,   10527110,     ·¨®üÁ¨,      70.67
[75]          73,   10527147,     ¦ó§Ó´­,      65.5
[76]          73,   10527174,     ¨H¾o©þ,      72.33
[77]          74,   10527202,     ³¯­lºÓ,      71
[78]          74,   10527220,     ³¯¬fæP,      84.17
[79] 
[80] 
[81]          81,   10527117,     ªL¬R¸R,      70.17
[82] 
[83]          83,   10527275,     ¤ýÄ£½÷,      74.5
[84] 
[85]          85,   10527206,     ¦¶¬f¿Ù,      63.5
[86]          86,   10527135,     ±i´¼´Ü,      79.17
[87]          86,   10527153,     ³¯¥ß¿o,      82.17
[88]          87,   10527225,     Ä¬·s¤¹,      75.5
[89] 
[90] 
[91] 
[92] 
[93] 
[94] 
[95] 
[96]          96,   10527106,     ¶ÀÞm­õ,      62.5
[97] 
[98] 
[99]          99,   10527128,     ³¯¬LÞ³,      76.17
[100]          99,   10527218,     ±i°¶¥ô,      76.5
[101]          101,   10527124,     ªô¥¿µq,      67
[102]          102,   10527136,     ±i°·­õ,      62.33
[103]          103,   10520140,     ¾G¨Ì©s,      72.33
[104]          103,   10527102,     ¼B«a§Ê,      74.17
[105]          103,   10527120,     ªL¨|¦¥,      82.33
[106]          101,   10527142,     ´^¸qµ¾,      77.83
[107]          104,   10527146,     Áú¦tªY,      72.33
[108]          103,   10527201,     ¼B©v½n,      71
[109]          103,   10527210,     «¸Â§¥È,      76.33
[110]          102,   10527212,     ³¯´­°a,      64.17
[111]          101,   10527214,     ³¢«í¹Å,      76.83
[112]          102,   10527221,     ´^¤d´ò,      79.17
[113]          109,   10527239,     ªL«Â§Ê,      80
[114]          101,   10527241,     ±iµú´Ü,      81.17
[115]          115,   10527115,     °K¾e¿³,      58.5
[116]          115,   10527151,     ³¯©É§Í,      82.17
[117]          116,   10527238,     ³\¨|¸Û,      78.5
[118]          103,   10527247,     ½²±o¹ü,      73.5
[119]          114,   10527250,     ªôÄ³¥Ý,      73.67
[120] 
[121] 
[122] 
[123]          123,   10527237,     ®]´ðØÝ,      83.33
[124]          123,   10527273,     ±ç«°°a,      74.83
[125]          125,   10527209,     ³\¨|·_,      63
[126]          126,   10527107,     ³\ªY´ü,      83.33
